train_roc_orig,train_p@n_orig,train_roc_kd,train_p@n_kd,test_time_orig,test_roc_orig,test_p@n_orig,test_time_kd,test_roc_kd,test_p@n_kd,clf
0.6037999999999999,0.27099999999999996,0.48630000000000007,0.0561,0.31215000000000004,0.6289999999999999,0.2319,0.0014000000000000002,0.4316,0.05800000000000001,ABOD
0.8353300000000001,0.5317700000000001,0.83331,0.5495500000000001,0.0008,0.84436,0.51448,0.0017000000000000001,0.83259,0.5478,CBLOF
0.59438,0.12239,0.6168600000000001,0.1944,0.18884,0.59151,0.17099999999999999,0.0015,0.60683,0.22354,FB
0.8571,0.5046999999999999,0.8579999999999999,0.5233999999999999,0.00030000000000000003,0.8278000000000001,0.4203,0.0010000000000000002,0.8328,0.4928,HBOS
0.93261,0.5355,0.9355500000000001,0.5448600000000001,0.042789999999999995,0.9240299999999999,0.5065099999999999,0.0014000000000000002,0.92995,0.5203,IF
0.7287,0.3363999999999999,0.7397,0.3645,0.06284999999999999,0.7371999999999999,0.3188,0.0014000000000000004,0.7329,0.40580000000000005,KNN
0.6684,0.28969999999999996,0.6868999999999998,0.3178,0.07121999999999999,0.6996000000000001,0.3043,0.0013000000000000004,0.6929999999999998,0.34779999999999994,AKNN
0.5667999999999999,0.1121,0.5903,0.1495,0.024640000000000002,0.5578000000000001,0.17389999999999997,0.0016,0.5834,0.2319,LOF
0.82936,0.45515,0.81838,0.4784999999999999,0.0001,0.8330400000000001,0.46812000000000004,0.0014000000000000002,0.8077,0.47538,MCD
0.9341000000000002,0.4766,0.9352,0.4953,0.009499999999999998,0.9381000000000002,0.5362,0.0014,0.9408,0.5797,OCSVM
0.9482000000000002,0.5980999999999999,0.9490000000000001,0.5980999999999999,0.0004,0.9521,0.6086999999999999,0.0016,0.9478000000000002,0.6231999999999999,PCA
