train_roc_orig,train_p@n_orig,train_roc_kd,train_p@n_kd,test_time_orig,test_roc_orig,test_p@n_orig,test_time_kd,test_roc_kd,test_p@n_kd,clf
0.5722000000000002,0.2178,0.3706,0.03960000000000001,0.31568,0.694,0.35999999999999993,0.0015000000000000002,0.4374000000000001,0.0533,ABOD
0.7381,0.35345,0.74372,0.38811,0.0008,0.80885,0.46798,0.0018000000000000002,0.8201300000000001,0.5306599999999999,CBLOF
0.5743099999999999,0.14850000000000002,0.57416,0.21483,0.19848000000000005,0.6178699999999999,0.20534,0.0013000000000000004,0.6903300000000001,0.37468,FB
0.8065999999999998,0.4257000000000001,0.8061,0.4356,0.0006000000000000001,0.8408,0.4667,0.0012000000000000003,0.8493999999999999,0.5466999999999999,HBOS
0.9238699999999997,0.48712,0.9263,0.49405,0.0428,0.9257900000000001,0.5360100000000001,0.0010000000000000002,0.9336399999999999,0.5759999999999998,IF
0.6955999999999999,0.3168000000000001,0.7028,0.3761999999999999,0.052000000000000005,0.7818000000000002,0.39999999999999997,0.0015,0.8001000000000003,0.4800000000000001,KNN
0.6361999999999999,0.2871000000000001,0.6517999999999999,0.27720000000000006,0.0596,0.7381000000000001,0.38669999999999993,0.0013000000000000004,0.7724000000000001,0.39999999999999997,AKNN
0.5472,0.14850000000000002,0.5487000000000001,0.16829999999999998,0.025500000000000002,0.6048999999999999,0.19999999999999998,0.0012000000000000003,0.6699,0.3333,LOF
0.82858,0.40788,0.8277599999999999,0.41283000000000003,0.0005,0.87173,0.48002,0.0013000000000000002,0.83905,0.40934,MCD
0.9304,0.46529999999999994,0.9319,0.47519999999999996,0.009199999999999998,0.9381000000000002,0.5600000000000002,0.0012000000000000003,0.9381999999999999,0.5867000000000001,OCSVM
0.9454999999999998,0.5644,0.9465000000000001,0.5644,0.0005,0.9486000000000001,0.6266999999999999,0.0013999999999999998,0.9421999999999999,0.6132999999999998,PCA
